Id,MSZoning,LotFrontage,LotArea,LotShape,Neighborhood,Condition1,BldgType,HouseStyle,TotalBsmtSF,Foundation,CentralAir,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,TotalBath,GarageCars,GarageArea,WasRemodeled,AgeWhenSold,SalePrice
530,RL,0.0,30000,IR1,Crawfor,Norm,1Fam,1Story,2000,PConc,Y,2515,4,9,2,4,2,484,Y,50,200624
492,RL,79.0,9490,Reg,NAmes,Artery,1Fam,1.5Fin,806,CBlock,Y,1578,3,5,2,2,1,240,Y,65,133000
460,RL,0.0,7015,IR1,BrkSide,Norm,1Fam,1.5Fin,709,CBlock,Y,1203,3,5,1,2,1,352,N,59,110000
280,RL,83.0,10005,Reg,ClearCr,Norm,1Fam,2Story,1160,CBlock,Y,2022,4,8,1,3,2,505,N,31,192000
656,RM,21.0,1680,Reg,BrDale,Norm,Twnhs,2Story,525,CBlock,Y,1092,3,6,0,2,1,264,N,39,88000
1014,RM,60.0,7200,Reg,OldTown,Norm,1Fam,1Story,1022,BrkTil,N,1022,2,4,0,2,1,280,Y,99,85000
1404,RL,49.0,15256,IR1,Somerst,RRAn,1Fam,1Story,1485,PConc,Y,1464,3,6,0,3,3,754,N,0,282922
602,RM,50.0,9000,Reg,IDOTRR,Norm,1Fam,1.5Fin,780,PConc,Y,1375,3,6,1,2,1,544,Y,70,141000
1183,RL,150.0,15623,IR1,NoRidge,Norm,1Fam,2Story,2000,PConc,Y,3000,4,10,2,4,3,813,N,11,745000
688,FV,0.0,5105,IR2,Somerst,Norm,TwnhsE,2Story,551,PConc,Y,1102,2,4,0,3,2,480,N,3,148800
1318,FV,47.0,4230,Reg,Somerst,Norm,TwnhsE,1Story,1352,PConc,Y,1352,2,5,1,2,2,466,Y,1,208900
1004,RL,0.0,11500,IR1,NWAmes,Feedr,Duplex,1Story,1680,CBlock,Y,1680,4,8,0,2,2,528,N,31,136905
1301,RL,0.0,10762,IR1,Gilbert,Norm,1Fam,2Story,978,PConc,Y,1983,3,9,1,3,2,490,N,10,225000
1393,RL,68.0,7838,Reg,NAmes,Norm,1Fam,SFoyer,864,CBlock,Y,900,3,6,1,2,1,288,N,39,123000
1015,RL,60.0,11664,Reg,NAmes,Artery,1Fam,1Story,1082,CBlock,Y,1082,2,5,1,1,1,240,Y,59,119200
255,RL,70.0,8400,Reg,NAmes,Norm,1Fam,1Story,1314,CBlock,Y,1314,3,5,0,2,1,294,N,53,145000
1323,RL,107.0,10186,IR1,NoRidge,Norm,1Fam,2Story,750,PConc,Y,1923,3,8,1,4,2,564,N,18,190000
90,RL,60.0,8070,Reg,CollgCr,Norm,1Fam,1Story,990,PConc,Y,990,3,5,0,2,0,0,Y,13,123600
32,RL,0.0,8544,IR1,Sawyer,Norm,1Fam,1Story,1228,CBlock,Y,1228,3,6,0,2,1,271,Y,42,149350
483,RM,50.0,2500,Reg,OldTown,Norm,1Fam,2Story,910,PConc,Y,1826,4,7,1,3,1,164,Y,94,155000
143,RL,71.0,8520,Reg,NAmes,Artery,1Fam,1.5Fin,910,CBlock,Y,1385,4,6,0,2,2,720,N,58,166000
812,RM,0.0,4438,Reg,CollgCr,Norm,TwnhsE,1Story,848,PConc,Y,848,1,4,1,2,2,420,N,4,144500
53,RM,110.0,8472,IR2,IDOTRR,RRNn,Duplex,1Story,816,CBlock,N,816,2,5,0,2,2,516,N,47,110000
858,RL,65.0,8125,Reg,Gilbert,Norm,1Fam,2Story,702,PConc,Y,1481,3,6,1,3,2,343,Y,15,174000
1160,RL,76.0,9120,Reg,NWAmes,Norm,1Fam,2Story,901,CBlock,Y,1876,4,8,1,3,2,540,N,34,185000
992,RM,121.0,17671,Reg,OldTown,Artery,1Fam,2Story,916,BrkTil,Y,1742,4,8,1,2,2,424,Y,100,168000
1359,FV,0.0,2117,Reg,Somerst,Norm,Twnhs,2Story,756,PConc,Y,1573,3,5,0,3,2,440,N,10,177500
650,RM,21.0,1936,Reg,MeadowV,Norm,Twnhs,SFoyer,630,CBlock,Y,630,1,3,0,2,0,0,N,37,84500
725,RL,86.0,13286,IR1,Edwards,Norm,1Fam,1Story,1698,PConc,Y,1698,3,8,1,3,3,768,Y,2,320000
576,RL,80.0,8480,Reg,NAmes,Norm,1Fam,1.5Fin,832,CBlock,Y,1216,2,6,0,1,1,336,Y,61,118500
729,RL,85.0,11475,Reg,NAmes,Norm,Duplex,1Story,1584,CBlock,Y,1776,4,9,0,3,3,888,N,51,110000
847,RL,75.0,9317,Reg,SawyerW,Norm,1Fam,2Story,740,PConc,Y,1775,3,7,1,4,2,425,N,16,213000
361,RL,0.0,7540,IR1,Mitchel,Norm,1Fam,SFoyer,888,CBlock,Y,912,2,5,1,2,2,470,N,29,156000
5,RL,84.0,14260,IR1,NoRidge,Norm,1Fam,2Story,1145,PConc,Y,2198,4,9,1,4,3,836,N,8,250000
679,RL,80.0,11844,IR1,StoneBr,Norm,1Fam,1Story,2000,PConc,Y,2046,3,7,1,3,3,834,N,1,372500
559,RL,57.0,21872,IR2,Gilbert,Norm,1Fam,2Story,729,PConc,Y,1446,3,6,1,4,2,406,Y,12,175000
35,RL,60.0,7313,Reg,NridgHt,Norm,TwnhsE,1Story,1561,PConc,Y,1561,2,6,1,3,2,556,N,2,277500
1026,RL,70.0,7700,Reg,CollgCr,Norm,1Fam,1Story,882,CBlock,Y,882,3,5,0,2,2,461,N,35,112500
550,FV,75.0,9375,Reg,Somerst,Norm,1Fam,2Story,912,PConc,Y,2094,4,8,1,3,2,615,Y,6,263000
1106,RL,98.0,12256,IR1,NoRidge,Norm,1Fam,2Story,1463,PConc,Y,2622,3,9,2,4,2,712,Y,16,325000
176,RL,84.0,12615,Reg,Edwards,Norm,1Fam,1Story,1202,CBlock,Y,2158,4,7,1,3,2,576,Y,57,243000
55,RL,60.0,7134,Reg,NAmes,Norm,1Fam,SLvl,384,CBlock,Y,1360,3,6,1,1,2,572,N,52,130000
402,RL,65.0,8767,IR1,CollgCr,Norm,1Fam,1Story,1310,PConc,Y,1310,3,6,1,2,2,400,N,1,164990
1110,RL,107.0,11362,IR1,NridgHt,Norm,1Fam,1Story,1836,PConc,Y,1836,3,7,1,3,3,862,Y,5,280000
232,RL,150.0,15138,IR1,NoRidge,Norm,1Fam,2Story,1462,PConc,Y,2794,4,9,1,4,3,810,Y,14,403000
331,RL,0.0,10624,IR1,NAmes,Norm,Duplex,1Story,1728,CBlock,Y,1728,5,10,0,3,1,352,N,43,119000
549,RM,49.0,8235,IR1,OldTown,Feedr,1Fam,1Story,825,CBlock,Y,825,2,4,0,2,2,720,Y,53,125000
234,RL,75.0,10650,Reg,CollgCr,Norm,1Fam,1Story,894,CBlock,Y,894,3,5,0,2,1,308,N,34,128200
892,RL,70.0,11184,Reg,Sawyer,Norm,1Fam,2Story,918,CBlock,Y,1683,3,7,1,3,2,440,N,31,172500
1050,RL,60.0,11100,Reg,Edwards,Norm,1Fam,1Story,0,CBlock,Y,930,2,6,0,1,1,308,Y,64,84900
162,RL,110.0,13688,IR1,NridgHt,Norm,1Fam,2Story,1572,PConc,Y,2668,3,10,2,4,3,726,Y,5,412500
487,RL,79.0,10289,Reg,NAmes,Norm,1Fam,1Story,1073,CBlock,Y,1073,3,6,0,3,2,515,N,42,156000
1336,RL,80.0,9650,Reg,NWAmes,Norm,1Fam,1Story,1350,CBlock,Y,1334,2,6,1,3,2,630,N,32,167900
394,RL,0.0,7446,Reg,BrkSide,Feedr,1Fam,1Story,788,CBlock,Y,788,2,4,2,1,0,0,Y,65,100000
427,RL,0.0,12800,Reg,SawyerW,Norm,1Fam,SLvl,1518,PConc,Y,1644,2,5,1,4,2,569,N,20,275000
