,0,1,2,3,4,5,6
0,,coef,std err,t,P>|t|,[0.025,0.975]
1,CentralAir_Y, 1.286e+04, 4517.446,    2.846, 0.005, 3990.786, 2.17e+04
2,MSZoning_C (all),-2.757e+04, 1.59e+04,   -1.730, 0.084,-5.88e+04, 3698.847
3,MSZoning_FV, 9135.2668, 1.02e+04,    0.893, 0.372,-1.09e+04, 2.92e+04
4,MSZoning_RH, 1.806e+04, 1.33e+04,    1.358, 0.175,-8030.000, 4.41e+04
5,MSZoning_RM, 9029.2258, 5777.594,    1.563, 0.118,-2309.021, 2.04e+04
6,LotShape_IR1, 1654.9359, 2630.319,    0.629, 0.529,-3506.936, 6816.808
7,LotShape_IR2, 1.875e+04, 6999.846,    2.679, 0.008, 5016.775, 3.25e+04
8,LotShape_IR3,-1.757e+04, 1.28e+04,   -1.373, 0.170,-4.27e+04, 7540.234
9,Neighborhood_Blmngtn, 1.086e+04, 1.22e+04,    0.892, 0.373, -1.3e+04, 3.48e+04
10,Neighborhood_BrDale, 3.108e+04, 1.33e+04,    2.337, 0.020, 4978.550, 5.72e+04
11,Neighborhood_BrkSide, 7165.9618, 7707.925,    0.930, 0.353,-7960.465, 2.23e+04
12,Neighborhood_ClearCr,-6835.7889, 8673.279,   -0.788, 0.431,-2.39e+04, 1.02e+04
13,Neighborhood_CollgCr, 9976.2813, 5204.442,    1.917, 0.056, -237.182, 2.02e+04
14,Neighborhood_Crawfor, 3.378e+04, 6973.328,    4.843, 0.000, 2.01e+04, 4.75e+04
15,Neighborhood_Edwards,-4341.8097, 5144.234,   -0.844, 0.399,-1.44e+04, 5753.498
16,Neighborhood_Gilbert,  -39.3796, 6865.023,   -0.006, 0.995,-1.35e+04, 1.34e+04
17,Neighborhood_IDOTRR,  623.8427, 1.12e+04,    0.056, 0.956,-2.14e+04, 2.26e+04
18,Neighborhood_MeadowV, 1.822e+04, 1.29e+04,    1.412, 0.158,-7095.349, 4.35e+04
19,Neighborhood_Mitchel,-3906.1373, 7039.125,   -0.555, 0.579,-1.77e+04, 9907.801
20,Neighborhood_NPkVill,   3.4e+04, 1.83e+04,    1.858, 0.063,-1909.248, 6.99e+04
21,Neighborhood_NWAmes,-8685.4052, 5763.159,   -1.507, 0.132,   -2e+04, 2624.513
22,Neighborhood_NoRidge,   5.6e+04, 8358.888,    6.699, 0.000, 3.96e+04, 7.24e+04
23,Neighborhood_NridgHt, 7.602e+04, 7161.617,   10.614, 0.000,  6.2e+04, 9.01e+04
24,Neighborhood_OldTown,-4194.3670, 7835.321,   -0.535, 0.593,-1.96e+04, 1.12e+04
25,Neighborhood_SWISU,-3684.4919, 9548.126,   -0.386, 0.700,-2.24e+04, 1.51e+04
26,Neighborhood_Sawyer, 3208.8164, 5688.927,    0.564, 0.573,-7955.426, 1.44e+04
27,Neighborhood_SawyerW, 9423.6348, 6764.634,    1.393, 0.164,-3851.629, 2.27e+04
28,Neighborhood_Somerst,  2.99e+04, 9875.377,    3.028, 0.003, 1.05e+04, 4.93e+04
29,Neighborhood_StoneBr,  9.43e+04, 9677.180,    9.744, 0.000, 7.53e+04, 1.13e+05
30,Neighborhood_Timber, 2.663e+04, 7838.264,    3.397, 0.001, 1.12e+04,  4.2e+04
31,Neighborhood_Veenker, 4.627e+04, 1.47e+04,    3.158, 0.002, 1.75e+04,  7.5e+04
32,Foundation_BrkTil,-8238.8590, 5482.628,   -1.503, 0.133, -1.9e+04, 2520.530
33,Foundation_CBlock,-6044.6286, 3614.374,   -1.672, 0.095,-1.31e+04, 1048.404
34,Foundation_Slab, 1.476e+04, 1.15e+04,    1.287, 0.198,-7746.938, 3.73e+04
